front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
120,120,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
95,120,86,120,120,120,120,120,-1,-1,-1,-1,-1,-1
90,95,94,86,120,120,120,120,-1,-1,-1,-1,-1,-1
85,90,99,94,120,120,120,120,-1,-1,-1,-1,-1,-1
93,85,90,99,120,120,120,120,-1,-1,-1,-1,-1,-1
97,93,91,90,120,120,120,120,-1,-1,-1,-1,-1,-1
92,97,92,91,120,120,120,120,-1,-1,-1,-1,-1,-1
103,92,94,92,120,120,120,120,-1,-1,-1,-1,-1,-1
89,103,97,94,120,120,24,120,-1,-1,-1,-1,-1,-1
98,89,98,97,120,120,120,24,-1,-1,-1,-1,-1,-1
92,98,120,98,120,120,21,120,-1,-1,-1,-1,-1,-1
89,92,102,120,120,120,22,21,-1,-1,-1,-1,-1,-1
93,89,114,102,120,120,30,22,-1,-1,-1,-1,-1,-1
9,93,103,114,120,120,23,30,-1,-1,-1,-1,-1,-1
6,9,116,103,120,120,24,23,-1,-1,-1,-1,-1,-1
6,6,92,116,120,120,19,24,-1,-1,-1,-1,-1,-1
6,6,106,92,120,120,24,19,-1,-1,-1,-1,-1,-1
6,6,120,106,120,120,23,24,-1,-1,-1,-1,-1,-1
6,6,111,120,120,120,22,23,-1,-1,-1,-1,-1,-1
6,6,120,111,120,120,19,22,-1,-1,-1,-1,-1,-1
6,6,102,120,120,120,25,19,-1,-1,-1,-1,-1,-1
6,6,101,102,120,120,120,25,-1,-1,-1,-1,-1,-1
6,6,103,101,120,120,25,120,-1,-1,-1,-1,-1,-1
6,6,108,103,120,120,23,25,-1,-1,-1,-1,-1,-1
6,6,109,108,120,120,21,23,-1,-1,-1,-1,-1,-1
6,6,104,109,120,120,120,21,-1,-1,-1,-1,-1,-1
6,6,120,104,120,120,21,120,-1,-1,-1,-1,-1,-1
6,6,120,120,120,120,24,21,-1,-1,-1,-1,-1,-1
6,6,101,120,120,120,26,24,-1,-1,-1,-1,-1,-1
6,6,120,101,120,120,17,26,-1,-1,-1,-1,-1,-1
6,6,120,120,120,120,120,17,-1,-1,-1,-1,-1,-1
7,6,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
11,7,106,120,120,120,120,120,-1,-1,-1,-1,-1,-1
20,11,9,106,120,120,32,120,-1,-1,-1,-1,-1,-1
45,20,8,9,120,120,120,32,-1,-1,-1,-1,-1,-1
91,45,7,8,120,120,120,120,-1,-1,-1,-1,-1,-1
85,91,8,7,120,120,120,120,-1,-1,-1,-1,-1,-1
92,85,8,8,120,120,25,120,-1,-1,-1,-1,-1,-1
94,92,8,8,120,120,120,25,-1,-1,-1,-1,-1,-1
99,94,8,8,120,120,120,120,-1,-1,-1,-1,-1,-1
95,99,7,8,120,120,29,120,-1,-1,-1,-1,-1,-1
97,95,9,7,120,120,120,29,-1,-1,-1,-1,-1,-1
94,97,30,9,120,120,120,120,-1,-1,-1,-1,-1,-1
88,94,120,30,120,120,120,120,-1,-1,-1,-1,-1,-1
120,88,9,120,120,120,120,120,-1,-1,-1,-1,-1,-1
89,120,6,9,120,120,20,120,-1,-1,-1,-1,-1,-1
94,89,6,6,120,120,17,20,-1,-1,-1,-1,-1,-1
88,94,6,6,120,120,22,17,-1,-1,-1,-1,-1,-1
120,88,7,6,120,120,18,22,-1,-1,-1,-1,-1,-1
95,120,7,7,120,120,17,18,-1,-1,-1,-1,-1,-1
86,95,7,7,120,120,120,17,-1,-1,-1,-1,-1,-1
120,86,9,7,120,120,120,120,-1,-1,-1,-1,-1,-1
55,120,20,9,120,120,120,120,-1,-1,-1,-1,-1,-1
38,55,96,20,120,120,25,120,-1,-1,-1,-1,-1,-1
35,38,91,96,10,120,120,25,-1,-1,-1,-1,-1,-1
36,35,89,91,7,10,120,120,-1,-1,-1,-1,-1,-1
38,36,76,89,6,7,120,120,-1,-1,-1,-1,-1,-1
43,38,84,76,6,6,120,120,-1,-1,-1,-1,-1,-1
49,43,88,84,6,6,120,120,-1,-1,-1,-1,-1,-1
52,49,79,88,6,6,120,120,-1,-1,-1,-1,-1,-1
56,52,120,79,5,6,120,120,-1,-1,-1,-1,-1,-1
55,56,78,120,5,5,120,120,-1,-1,-1,-1,-1,-1
57,55,83,78,6,5,120,120,-1,-1,-1,-1,-1,-1
61,57,78,83,5,6,120,120,-1,-1,-1,-1,-1,-1
54,61,78,78,6,5,120,120,-1,-1,-1,-1,-1,-1
60,54,82,78,6,6,120,120,-1,-1,-1,-1,-1,-1
58,60,73,82,5,6,120,120,-1,-1,-1,-1,-1,-1
59,58,75,73,6,5,0,120,-1,-1,-1,-1,-1,-1
65,59,81,75,120,6,120,0,-1,-1,-1,-1,-1,-1
94,65,120,81,120,120,21,120,-1,-1,-1,-1,-1,-1
120,94,98,120,120,120,18,21,-1,-1,-1,-1,-1,-1
90,120,102,98,120,120,24,18,-1,-1,-1,-1,-1,-1
82,90,103,102,120,120,19,24,-1,-1,-1,-1,-1,-1
88,82,108,103,120,120,24,19,-1,-1,-1,-1,-1,-1
89,88,115,108,120,120,22,24,-1,-1,-1,-1,-1,-1
86,89,120,115,120,120,120,22,-1,-1,-1,-1,-1,-1
91,86,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
90,91,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
86,90,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
81,86,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
83,81,120,120,120,120,120,120,-1,-1,-1,-1,-1,-1
89,83,120,120,120,120,4,120,-1,-1,-1,-1,-1,-1
82,89,120,120,120,120,7,4,-1,-1,-1,-1,-1,-1
86,82,116,120,120,120,16,7,-1,-1,-1,-1,-1,-1
84,86,120,116,120,120,4,16,-1,-1,-1,-1,-1,-1
86,84,120,120,120,120,3,4,-1,-1,-1,-1,-1,-1
85,86,120,120,120,120,2,3,-1,-1,-1,-1,-1,-1
85,85,120,120,120,120,3,2,-1,-1,-1,-1,-1,-1
83,85,120,120,120,120,3,3,-1,-1,-1,-1,-1,-1
87,83,115,120,120,120,3,3,-1,-1,-1,-1,-1,-1
88,87,120,115,120,120,3,3,-1,-1,-1,-1,-1,-1
82,88,120,120,75,120,3,3,-1,-1,-1,-1,-1,-1
83,82,120,120,61,75,4,3,-1,-1,-1,-1,-1,-1
84,83,120,120,57,61,23,4,-1,-1,-1,-1,-1,-1
83,84,112,120,55,57,120,23,-1,-1,-1,-1,-1,-1
86,83,113,112,56,55,17,120,-1,-1,-1,-1,-1,-1
87,86,120,113,57,56,36,17,-1,-1,-1,-1,-1,-1
84,87,120,120,56,57,120,36,-1,-1,-1,-1,-1,-1
86,84,120,120,57,56,120,120,-1,-1,-1,-1,-1,-1
120,86,120,120,58,57,29,120,-1,-1,-1,-1,-1,-1
83,120,120,120,58,58,28,29,-1,-1,-1,-1,-1,-1
85,83,120,120,60,58,33,28,-1,-1,-1,-1,-1,-1
87,85,51,120,45,60,120,33,-1,-1,-1,-1,-1,-1
87,87,34,51,120,45,120,120,-1,-1,-1,-1,-1,-1
40,87,31,34,120,120,35,120,-1,-1,-1,-1,-1,-1
