front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
400,0,29,0,35,-1,0,0,1,0,0,0,0,1,0,0,
400,0,28,-1,38,3,0,0,1,0,0,0,0,1,0,0,
400,0,29,1,38,0,0,0,1,0,0,0,0,1,0,0,
400,0,26,-3,36,-2,0,1,0,0,0,0,0,1,0,0,
400,0,25,-1,36,0,0,1,0,0,0,0,1,0,0,0,
400,0,28,3,39,3,0,0,1,0,0,0,1,0,0,0,
400,0,32,4,27,-12,0,0,1,0,0,0,0,1,0,0,
400,0,400,368,28,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,28,0,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,62,34,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,63,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,59,-4,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,61,2,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,43,-18,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,80,37,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,50,-30,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,52,2,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,55,3,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,57,2,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,59,2,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,63,4,0,0,1,0,0,0,0,0,1,0,
400,0,400,0,97,34,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,100,3,0,0,1,0,0,0,0,0,1,0,
400,0,400,0,105,5,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,102,-3,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,103,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,105,2,0,0,1,0,0,0,0,1,0,0,
400,0,57,-343,107,2,0,0,0,1,0,0,0,1,0,0,
400,0,400,343,111,4,0,0,1,0,0,0,0,0,1,0,
400,0,400,0,114,3,0,0,1,0,0,0,0,1,0,0,
400,0,56,-344,114,0,0,0,1,0,0,0,0,1,0,0,
400,0,43,-13,24,-90,0,0,1,0,0,0,0,1,0,0,
400,0,40,-3,24,0,0,0,1,0,0,0,0,1,0,0,
400,0,39,-1,24,0,0,0,1,0,0,0,0,1,0,0,
400,0,37,-2,25,1,0,0,1,0,0,0,0,1,0,0,
400,0,36,-1,30,5,0,0,1,0,0,0,0,1,0,0,
400,0,43,7,37,7,0,0,1,0,0,0,0,1,0,0,
400,0,400,357,62,25,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,29,-33,0,0,0,1,0,0,0,1,0,0,
400,0,122,-278,66,37,0,0,1,0,0,0,0,0,1,0,
400,0,29,-93,110,44,0,0,1,0,0,0,0,1,0,0,
400,0,29,0,138,28,0,0,1,0,0,0,0,1,0,0,
400,0,27,-2,46,-92,0,0,1,0,0,0,0,1,0,0,
400,0,27,0,48,2,0,0,1,0,0,0,0,1,0,0,
400,0,26,-1,36,-12,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,52,16,0,0,1,0,0,0,0,1,0,0,
400,0,27,1,41,-11,0,0,1,0,0,0,0,1,0,0,
400,0,80,53,45,4,0,0,1,0,0,0,0,1,0,0,
400,0,80,0,58,13,0,0,1,0,0,0,0,1,0,0,
400,0,79,-1,61,3,0,0,0,1,0,0,0,1,0,0,
400,0,78,-1,64,3,0,0,0,1,0,0,0,0,1,0,
400,0,76,-2,66,2,0,0,0,1,0,0,0,0,1,0,
400,0,73,-3,67,1,0,0,0,1,0,0,0,0,1,0,
400,0,71,-2,70,3,0,0,1,0,0,0,0,0,1,0,
86,-314,69,-2,72,2,0,0,1,0,0,0,0,1,0,0,
73,-13,67,-2,73,1,0,0,1,0,0,0,0,1,0,0,
71,-2,65,-2,56,-17,0,0,1,0,0,0,0,1,0,0,
70,-1,64,-1,400,344,0,0,1,0,0,0,0,1,0,0,
65,-5,61,-3,400,0,0,0,1,0,0,0,0,1,0,0,
62,-3,58,-3,79,-321,0,0,0,1,0,0,0,1,0,0,
60,-2,57,-1,79,0,0,0,0,1,0,0,0,0,1,0,
58,-2,56,-1,400,321,0,0,0,1,0,0,0,0,1,0,
54,-4,53,-3,400,0,0,0,1,0,0,0,0,0,1,0,
51,-3,50,-3,400,0,0,1,0,0,0,0,0,1,0,0,
47,-4,48,-2,400,0,0,1,0,0,0,0,1,0,0,0,
45,-2,46,-2,400,0,0,1,0,0,0,0,1,0,0,0,
43,-2,43,-3,21,-379,0,1,0,0,0,0,1,0,0,0,
43,0,41,-2,21,0,0,0,1,0,0,0,1,0,0,0,
42,-1,40,-1,22,1,0,0,1,0,0,0,0,1,0,0,
42,0,37,-3,23,1,0,0,1,0,0,0,0,1,0,0,
40,-2,36,-1,24,1,0,1,0,0,0,0,0,1,0,0,
38,-2,35,-1,25,1,0,1,0,0,0,0,1,0,0,0,
38,0,34,-1,26,1,0,1,0,0,0,0,1,0,0,0,
400,362,32,-2,30,4,0,1,0,0,0,0,1,0,0,0,
56,-344,32,0,30,0,0,1,0,0,0,0,1,0,0,0,
53,-3,31,-1,33,3,0,1,0,0,0,0,1,0,0,0,
54,1,30,-1,34,1,0,1,0,0,0,0,1,0,0,0,
56,2,30,0,36,2,0,1,0,0,0,0,1,0,0,0,
52,-4,30,0,39,3,0,1,0,0,0,0,1,0,0,0,
130,78,31,1,43,4,0,1,0,0,0,0,1,0,0,0,
129,-1,31,0,53,10,0,0,1,0,0,0,1,0,0,0,
29,-100,38,7,56,3,0,0,1,0,0,0,0,1,0,0,
30,1,34,-4,36,-20,0,0,1,0,0,0,0,1,0,0,
27,-3,33,-1,36,0,0,0,1,0,0,0,0,1,0,0,
22,-5,33,0,37,1,0,0,1,0,0,0,0,1,0,0,
20,-2,32,-1,53,16,0,0,1,0,0,0,0,1,0,0,
19,-1,32,0,36,-17,0,0,1,0,0,0,0,1,0,0,
17,-2,32,0,39,3,0,0,1,0,0,0,0,1,0,0,
113,96,30,-2,39,0,0,0,1,0,0,0,0,1,0,0,
110,-3,31,1,43,4,0,0,1,0,0,0,0,1,0,0,
108,-2,31,0,42,-1,0,0,1,0,0,0,0,1,0,0,
106,-2,30,-1,41,-1,0,0,1,0,0,0,0,1,0,0,
104,-2,29,-1,43,2,0,0,1,0,0,0,0,1,0,0,
