front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
58,0,54,0,400,0,0,0,1,0,0,0,0,1,0,0,
56,-2,53,-1,400,0,0,0,1,0,0,0,0,1,0,0,
55,-1,50,-3,400,0,0,0,1,0,0,0,0,1,0,0,
52,-3,48,-2,400,0,0,0,1,0,0,0,0,1,0,0,
50,-2,45,-3,400,0,0,0,1,0,0,0,0,1,0,0,
48,-2,43,-2,400,0,0,0,1,0,0,0,0,1,0,0,
44,-4,41,-2,400,0,0,0,1,0,0,0,0,1,0,0,
42,-2,39,-2,117,-283,0,0,1,0,0,0,0,1,0,0,
41,-1,36,-3,119,2,0,0,1,0,0,0,0,1,0,0,
38,-3,35,-1,119,0,0,1,0,0,0,0,0,1,0,0,
36,-2,34,-1,116,-3,0,1,0,0,0,0,1,0,0,0,
37,1,32,-2,116,0,0,1,0,0,0,0,1,0,0,0,
400,363,31,-1,119,3,0,1,0,0,0,0,1,0,0,0,
400,0,30,-1,57,-62,0,1,0,0,0,0,1,0,0,0,
400,0,30,0,58,1,0,1,0,0,0,0,1,0,0,0,
400,0,30,0,59,1,0,0,1,0,0,0,1,0,0,0,
71,-329,30,0,64,5,0,0,1,0,0,0,0,1,0,0,
400,329,30,0,69,5,0,0,1,0,0,0,0,1,0,0,
400,0,30,0,73,4,0,0,1,0,0,0,0,1,0,0,
400,0,28,-2,73,0,0,0,1,0,0,0,0,1,0,0,
400,0,29,1,47,-26,0,0,1,0,0,0,0,1,0,0,
400,0,29,0,50,3,0,0,1,0,0,0,0,1,0,0,
400,0,400,371,50,0,0,1,0,0,0,0,0,1,0,0,
400,0,400,0,52,2,0,0,1,0,0,0,1,0,0,0,
400,0,400,0,56,4,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,37,-19,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,38,1,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,38,0,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,43,5,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,69,26,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,74,5,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,113,39,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,113,0,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,115,2,0,0,1,0,0,0,0,0,1,0,
400,0,37,-363,116,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,363,116,0,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,116,0,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,400,284,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,39,-361,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,29,-10,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,30,1,113,-287,0,0,1,0,0,0,0,1,0,0,
400,0,27,-3,400,287,0,0,1,0,0,0,0,1,0,0,
400,0,28,1,116,-284,0,0,1,0,0,0,0,1,0,0,
400,0,26,-2,42,-74,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,134,92,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,105,-29,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,44,-61,0,0,1,0,0,0,0,1,0,0,
400,0,25,-1,45,1,0,0,1,0,0,0,0,1,0,0,
400,0,23,-2,48,3,0,0,1,0,0,0,0,1,0,0,
400,0,23,0,50,2,0,0,1,0,0,0,0,1,0,0,
400,0,24,1,39,-11,0,0,1,0,0,0,0,1,0,0,
400,0,78,54,55,16,0,0,1,0,0,0,0,1,0,0,
400,0,79,1,57,2,0,0,1,0,0,0,0,1,0,0,
400,0,77,-2,59,2,0,0,1,0,0,0,0,1,0,0,
400,0,77,0,62,3,0,0,1,0,0,0,0,1,0,0,
400,0,76,-1,65,3,0,0,1,0,0,0,0,1,0,0,
400,0,75,-1,68,3,0,0,1,0,0,0,0,1,0,0,
400,0,75,0,71,3,0,0,0,1,0,0,0,1,0,0,
400,0,73,-2,73,2,0,0,0,1,0,0,0,0,1,0,
400,0,71,-2,76,3,0,0,0,1,0,0,0,0,1,0,
400,0,68,-3,61,-15,0,0,0,1,0,0,0,0,1,0,
400,0,65,-3,400,339,0,0,0,1,0,0,0,0,1,0,
68,-332,63,-2,400,0,0,0,0,1,0,0,0,0,1,0,
62,-6,60,-3,400,0,0,0,1,0,0,0,0,0,1,0,
58,-4,58,-2,400,0,0,0,1,0,0,0,0,1,0,0,
