front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
76,0,30,0,50,-1,0,0,1,0,0,0,0,1,0,0,
76,0,29,-1,41,-9,0,0,0,1,0,0,0,1,0,0,
74,-2,28,-1,43,2,0,0,0,1,0,0,0,0,1,0,
63,-11,28,0,68,25,0,0,1,0,0,0,0,0,1,0,
58,-5,27,-1,70,2,0,0,1,0,0,0,0,1,0,0,
57,-1,24,-3,58,-12,0,0,1,0,0,0,0,1,0,0,
54,-3,25,1,58,0,0,1,0,0,0,0,0,1,0,0,
51,-3,22,-3,46,-12,0,1,0,0,0,0,1,0,0,0,
50,-1,26,4,49,3,0,1,0,0,0,0,1,0,0,0,
58,8,23,-3,44,-5,0,1,0,0,0,0,1,0,0,0,
56,-2,24,1,51,7,0,0,1,0,0,0,1,0,0,0,
60,4,23,-1,42,-9,0,0,1,0,0,0,0,1,0,0,
60,0,23,0,43,1,0,0,1,0,0,0,0,1,0,0,
57,-3,23,0,48,5,0,0,1,0,0,0,0,1,0,0,
56,-1,26,3,43,-5,0,1,0,0,0,0,0,1,0,0,
67,11,24,-2,50,7,0,1,0,0,0,0,1,0,0,0,
66,-1,23,-1,24,-26,0,1,0,0,0,0,1,0,0,0,
64,-2,24,1,23,-1,0,0,1,0,0,0,1,0,0,0,
62,-2,43,19,22,-1,0,0,1,0,0,0,0,1,0,0,
60,-2,29,-14,23,1,0,0,1,0,0,0,0,1,0,0,
59,-1,47,18,22,-1,0,0,1,0,0,0,0,1,0,0,
56,-3,29,-18,22,0,0,0,1,0,0,0,0,1,0,0,
55,-1,43,14,26,4,0,0,1,0,0,0,0,1,0,0,
54,-1,57,14,25,-1,0,0,1,0,0,0,0,1,0,0,
51,-3,37,-20,26,1,0,0,1,0,0,0,0,1,0,0,
50,-1,38,1,26,0,0,0,1,0,0,0,0,1,0,0,
50,0,37,-1,25,-1,0,0,1,0,0,0,0,1,0,0,
90,40,31,-6,25,0,0,0,1,0,0,0,0,1,0,0,
110,20,29,-2,26,1,0,0,1,0,0,0,0,1,0,0,
