front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
62,-7,106,0,400,0,0,0,1,0,0,0,0,1,0,0,
60,-2,104,-2,400,0,0,1,0,0,0,0,0,1,0,0,
66,6,102,-2,400,0,0,1,0,0,0,0,1,0,0,0,
56,-10,100,-2,251,-149,0,1,0,0,0,0,1,0,0,0,
51,-5,100,0,251,0,0,1,0,0,0,0,1,0,0,0,
49,-2,100,0,151,-100,0,1,0,0,0,0,1,0,0,0,
45,-4,100,0,137,-14,0,1,0,0,0,0,1,0,0,0,
42,-3,100,0,105,-32,0,1,0,0,0,0,1,0,0,0,
39,-3,100,0,104,-1,0,1,0,0,0,0,1,0,0,0,
37,-2,100,0,102,-2,0,1,0,0,0,0,1,0,0,0,
36,-1,47,-53,101,-1,0,1,0,0,0,0,1,0,0,0,
33,-3,45,-2,101,0,0,1,0,0,0,0,1,0,0,0,
31,-2,46,1,100,-1,0,1,0,0,0,0,1,0,0,0,
30,-1,335,289,101,1,0,1,0,0,0,0,1,0,0,0,
29,-1,30,-305,101,0,0,1,0,0,0,0,1,0,0,0,
29,0,25,-5,102,1,0,1,0,0,0,0,1,0,0,0,
28,-1,24,-1,100,-2,0,1,0,0,0,0,1,0,0,0,
29,1,24,0,100,0,0,1,0,0,0,0,1,0,0,0,
168,139,22,-2,101,1,0,1,0,0,0,0,1,0,0,0,
165,-3,16,-6,104,3,0,1,0,0,0,0,1,0,0,0,
162,-3,16,0,108,4,0,1,0,0,0,0,1,0,0,0,
153,-9,21,5,49,-59,0,1,0,0,0,0,1,0,0,0,
152,-1,22,1,50,1,0,1,0,0,0,0,1,0,0,0,
149,-3,22,0,119,69,0,0,1,0,0,0,1,0,0,0,
153,4,22,0,335,216,0,0,1,0,0,0,0,1,0,0,
139,-14,23,1,24,-311,0,0,1,0,0,0,0,1,0,0,
137,-2,24,1,25,1,0,0,1,0,0,0,0,1,0,0,
134,-3,24,0,338,313,0,0,1,0,0,0,0,1,0,0,
131,-3,23,-1,38,-300,0,1,0,0,0,0,0,1,0,0,
128,-3,23,0,24,-14,0,1,0,0,0,0,1,0,0,0,
126,-2,24,1,22,-2,0,1,0,0,0,0,1,0,0,0,
124,-2,68,44,21,-1,0,0,1,0,0,0,1,0,0,0,
122,-2,68,0,21,0,0,0,1,0,0,0,0,1,0,0,
120,-2,69,1,22,1,0,0,1,0,0,0,0,1,0,0,
117,-3,68,-1,22,0,0,0,1,0,0,0,0,1,0,0,
115,-2,129,61,23,1,0,0,1,0,0,0,0,1,0,0,
112,-3,68,-61,25,2,0,0,1,0,0,0,0,1,0,0,
110,-2,121,53,24,-1,0,0,0,1,0,0,0,1,0,0,
107,-3,124,3,25,1,0,0,0,1,0,0,0,0,1,0,
105,-2,66,-58,30,5,0,0,0,1,0,0,0,0,1,0,
102,-3,60,-6,39,9,0,0,0,1,0,0,0,0,1,0,
99,-3,58,-2,41,2,0,0,0,1,0,0,0,0,1,0,
97,-2,57,-1,43,2,0,0,0,1,0,0,0,0,1,0,
95,-2,55,-2,44,1,0,0,0,1,0,0,0,0,1,0,
94,-1,44,-11,70,26,0,0,0,1,0,0,0,0,1,0,
92,-2,42,-2,72,2,0,0,0,1,0,0,0,0,1,0,
86,-6,41,-1,75,3,0,0,0,1,0,0,0,0,1,0,
64,-22,40,-1,174,99,0,0,1,0,0,0,0,0,1,0,
50,-14,45,5,175,1,0,0,1,0,0,0,0,1,0,0,
48,-2,44,-1,178,3,0,0,1,0,0,0,0,1,0,0,
45,-3,41,-3,177,-1,0,0,1,0,0,0,0,1,0,0,
43,-2,39,-2,181,4,0,1,0,0,0,0,0,1,0,0,
41,-2,38,-1,183,2,0,1,0,0,0,0,1,0,0,0,
41,0,36,-2,179,-4,0,1,0,0,0,0,1,0,0,0,
46,5,37,1,52,-127,0,1,0,0,0,0,1,0,0,0,
48,2,35,-2,180,128,0,1,0,0,0,0,1,0,0,0,
62,14,35,0,28,-152,0,0,1,0,0,0,1,0,0,0,
60,-2,35,0,29,1,0,0,1,0,0,0,0,1,0,0,
61,1,34,-1,30,1,0,0,1,0,0,0,0,1,0,0,
56,-5,32,-2,33,3,0,1,0,0,0,0,0,1,0,0,
66,10,32,0,36,3,0,1,0,0,0,0,1,0,0,0,
63,-3,32,0,45,9,0,1,0,0,0,0,1,0,0,0,
61,-2,32,0,48,3,0,1,0,0,0,0,1,0,0,0,
58,-3,33,1,48,0,0,1,0,0,0,0,1,0,0,0,
56,-2,34,1,36,-12,0,0,1,0,0,0,1,0,0,0,
54,-2,36,2,34,-2,0,0,1,0,0,0,0,1,0,0,
52,-2,36,0,34,0,0,0,1,0,0,0,0,1,0,0,
49,-3,36,0,34,0,0,0,1,0,0,0,0,1,0,0,
48,-1,36,0,35,1,0,1,0,0,0,0,0,1,0,0,
45,-3,37,1,34,-1,0,1,0,0,0,0,1,0,0,0,
43,-2,38,1,33,-1,0,1,0,0,0,0,1,0,0,0,
42,-1,40,2,34,1,0,1,0,0,0,0,1,0,0,0,
40,-2,50,10,33,-1,0,1,0,0,0,0,1,0,0,0,
39,-1,50,0,33,0,0,1,0,0,0,0,1,0,0,0,
38,-1,39,-11,33,0,0,1,0,0,0,0,1,0,0,0,
43,5,36,-3,34,1,0,1,0,0,0,0,1,0,0,0,
44,1,34,-2,35,1,0,1,0,0,0,0,1,0,0,0,
41,-3,31,-3,36,1,0,1,0,0,0,0,1,0,0,0,
57,16,30,-1,38,2,0,1,0,0,0,0,1,0,0,0,
55,-2,29,-1,39,1,0,1,0,0,0,0,1,0,0,0,
53,-2,29,0,41,2,0,1,0,0,0,0,1,0,0,0,
51,-2,29,0,43,2,0,1,0,0,0,0,1,0,0,0,
50,-1,28,-1,46,3,0,1,0,0,0,0,1,0,0,0,
50,0,29,1,48,2,0,1,0,0,0,0,1,0,0,0,
70,20,29,0,52,4,0,1,0,0,0,0,1,0,0,0,
69,-1,30,1,54,2,0,0,1,0,0,0,1,0,0,0,
