front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
60,0,59,0,400,0,0,0,1,0,0,0,0,1,0,0,
59,-1,56,-3,400,0,0,0,1,0,0,0,0,1,0,0,
56,-3,54,-2,400,0,0,0,1,0,0,0,0,1,0,0,
53,-3,51,-3,400,0,0,0,0,1,0,0,0,1,0,0,
50,-3,49,-2,400,0,0,0,0,1,0,0,0,0,1,0,
47,-3,47,-2,400,0,0,0,1,0,0,0,0,0,1,0,
43,-4,44,-3,400,0,0,1,0,0,0,0,0,1,0,0,
40,-3,42,-2,400,0,0,1,0,0,0,0,1,0,0,0,
37,-3,38,-4,400,0,0,1,0,0,0,0,1,0,0,0,
36,-1,35,-3,400,0,0,1,0,0,0,0,1,0,0,0,
35,-1,32,-3,400,0,0,1,0,0,0,0,1,0,0,0,
36,1,31,-1,400,0,0,1,0,0,0,0,1,0,0,0,
128,92,29,-2,400,0,0,1,0,0,0,0,1,0,0,0,
400,272,29,0,400,0,0,1,0,0,0,0,1,0,0,0,
400,0,30,1,400,0,0,1,0,0,0,0,1,0,0,0,
400,0,30,0,400,0,0,0,1,0,0,0,1,0,0,0,
400,0,33,3,32,-368,0,0,1,0,0,0,0,1,0,0,
400,0,33,0,53,21,0,0,1,0,0,0,0,1,0,0,
400,0,400,367,36,-17,0,0,1,0,0,0,0,1,0,0,
400,0,112,-288,32,-4,0,0,0,1,0,0,0,1,0,0,
400,0,400,288,48,16,0,0,0,1,0,0,0,0,1,0,
400,0,87,-313,50,2,0,0,0,1,0,0,0,0,1,0,
400,0,85,-2,56,6,0,0,0,1,0,0,0,0,1,0,
400,0,82,-3,68,12,0,0,1,0,0,0,0,0,1,0,
400,0,79,-3,72,4,0,0,1,0,0,0,0,1,0,0,
400,0,77,-2,400,328,0,0,0,1,0,0,0,1,0,0,
400,0,75,-2,74,-326,0,0,0,1,0,0,0,0,1,0,
90,-310,73,-2,76,2,0,0,0,1,0,0,0,0,1,0,
86,-4,71,-2,400,324,0,0,1,0,0,0,0,0,1,0,
71,-15,68,-3,400,0,0,0,1,0,0,0,0,1,0,0,
68,-3,65,-3,400,0,0,0,1,0,0,0,0,1,0,0,
64,-4,62,-3,400,0,0,0,1,0,0,0,0,1,0,0,
61,-3,60,-2,400,0,0,0,0,1,0,0,0,1,0,0,
58,-3,57,-3,400,0,0,0,0,1,0,0,0,0,1,0,
56,-2,54,-3,400,0,0,0,0,1,0,0,0,0,1,0,
52,-4,52,-2,400,0,0,0,0,1,0,0,0,0,1,0,
48,-4,56,4,400,0,0,1,0,0,0,0,0,0,1,0,
45,-3,26,-30,92,-308,0,1,0,0,0,0,1,0,0,0,
44,-1,26,0,400,308,0,1,0,0,0,0,1,0,0,0,
40,-4,49,23,400,0,0,1,0,0,0,0,1,0,0,0,
38,-2,41,-8,21,-379,0,1,0,0,0,0,1,0,0,0,
38,0,36,-5,22,1,0,1,0,0,0,0,1,0,0,0,
36,-2,35,-1,21,-1,0,1,0,0,0,0,1,0,0,0,
37,1,34,-1,22,1,0,1,0,0,0,0,1,0,0,0,
36,-1,32,-2,24,2,0,1,0,0,0,0,1,0,0,0,
38,2,31,-1,26,2,0,1,0,0,0,0,1,0,0,0,
56,18,30,-1,28,2,0,1,0,0,0,0,1,0,0,0,
63,7,30,0,31,3,0,1,0,0,0,0,1,0,0,0,
53,-10,30,0,33,2,0,1,0,0,0,0,1,0,0,0,
56,3,30,0,36,3,0,0,1,0,0,0,1,0,0,0,
39,-17,31,1,38,2,0,0,1,0,0,0,0,1,0,0,
36,-3,30,-1,39,1,0,0,1,0,0,0,0,1,0,0,
129,93,29,-1,44,5,0,0,1,0,0,0,0,1,0,0,
128,-1,29,0,53,9,0,1,0,0,0,0,0,1,0,0,
29,-99,36,7,48,-5,0,1,0,0,0,0,1,0,0,0,
123,94,30,-6,49,1,0,1,0,0,0,0,1,0,0,0,
24,-99,30,0,59,10,0,1,0,0,0,0,1,0,0,0,
24,0,32,2,61,2,0,0,1,0,0,0,1,0,0,0,
400,376,43,11,29,-32,0,0,1,0,0,0,0,1,0,0,
18,-382,400,357,32,3,0,0,0,1,0,0,0,1,0,0,
400,382,36,-364,36,4,0,0,1,0,0,0,0,0,1,0,
400,0,33,-3,33,-3,0,0,1,0,0,0,0,1,0,0,
108,-292,32,-1,32,-1,0,0,1,0,0,0,0,1,0,0,
105,-3,31,-1,33,1,0,0,1,0,0,0,0,1,0,0,
