front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
158,48,57,0,400,0,0,0,1,0,0,0,0,1,0,0,
159,1,57,0,400,0,0,0,1,0,0,0,0,1,0,0,
65,-94,56,-1,400,0,0,0,1,0,0,0,0,1,0,0,
60,-5,54,-2,400,0,0,0,1,0,0,0,0,1,0,0,
58,-2,52,-2,400,0,0,0,0,1,0,0,0,1,0,0,
56,-2,50,-2,400,0,0,0,0,1,0,0,0,0,1,0,
55,-1,48,-2,400,0,0,0,0,1,0,0,0,0,1,0,
49,-6,45,-3,400,0,0,0,1,0,0,0,0,0,1,0,
44,-5,43,-2,400,0,0,0,1,0,0,0,0,1,0,0,
43,-1,41,-2,400,0,0,0,1,0,0,0,0,1,0,0,
40,-3,37,-4,400,0,0,0,1,0,0,0,0,1,0,0,
37,-3,35,-2,400,0,0,1,0,0,0,0,0,1,0,0,
126,89,32,-3,400,0,0,1,0,0,0,0,1,0,0,0,
123,-3,30,-2,92,-308,0,1,0,0,0,0,1,0,0,0,
120,-3,29,-1,87,-5,0,1,0,0,0,0,1,0,0,0,
118,-2,29,0,88,1,0,0,1,0,0,0,1,0,0,0,
116,-2,29,0,89,1,0,1,0,0,0,0,0,1,0,0,
65,-51,28,-1,90,1,0,0,1,0,0,0,1,0,0,0,
112,47,29,1,59,-31,0,0,1,0,0,0,0,1,0,0,
60,-52,27,-2,95,36,0,0,1,0,0,0,0,1,0,0,
57,-3,27,0,101,6,0,0,1,0,0,0,0,1,0,0,
56,-1,26,-1,103,2,0,1,0,0,0,0,0,1,0,0,
56,0,26,0,106,3,0,0,1,0,0,0,1,0,0,0,
104,48,25,-1,109,3,0,0,1,0,0,0,0,1,0,0,
103,-1,25,0,112,3,0,1,0,0,0,0,0,1,0,0,
82,-21,24,-1,123,11,0,0,1,0,0,0,1,0,0,0,
80,-2,27,3,31,-92,0,0,1,0,0,0,0,1,0,0,
79,-1,25,-2,30,-1,0,1,0,0,0,0,0,1,0,0,
77,-2,25,0,29,-1,0,0,1,0,0,0,1,0,0,0,
56,-21,26,1,26,-3,0,0,1,0,0,0,0,1,0,0,
49,-7,27,1,27,1,0,0,1,0,0,0,0,1,0,0,
72,23,27,0,26,-1,0,0,1,0,0,0,0,1,0,0,
50,-22,27,0,27,1,0,0,1,0,0,0,0,1,0,0,
68,18,29,2,25,-2,0,0,1,0,0,0,0,1,0,0,
68,0,28,-1,26,1,0,0,1,0,0,0,0,1,0,0,
65,-3,29,1,29,3,0,0,1,0,0,0,0,1,0,0,
64,-1,29,0,27,-2,0,0,1,0,0,0,0,1,0,0,
61,-3,29,0,26,-1,0,0,1,0,0,0,0,1,0,0,
60,-1,27,-2,28,2,0,1,0,0,0,0,0,1,0,0,
58,-2,27,0,26,-2,0,1,0,0,0,0,1,0,0,0,
57,-1,29,2,25,-1,1,0,0,0,0,0,1,0,0,0,
29,-28,56,27,24,-1,1,0,0,0,0,1,0,0,0,0,
28,-1,55,-1,24,0,1,0,0,0,0,1,0,0,0,0,
25,-3,55,0,24,0,1,0,0,0,0,1,0,0,0,0,
23,-2,56,1,22,-2,1,0,0,0,0,1,0,0,0,0,
24,1,57,1,23,1,1,0,0,0,0,1,0,0,0,0,
22,-2,58,1,22,-1,1,0,0,0,0,1,0,0,0,0,
24,2,59,1,22,0,0,1,0,0,0,1,0,0,0,0,
24,0,26,-33,24,2,0,1,0,0,0,0,1,0,0,0,
24,0,24,-2,26,2,0,1,0,0,0,0,1,0,0,0,
