front;front_delta;front_right;front_right_delta;rear_right;rear_right_delta;mode1;mode2;mode3;mode4;mode5;prev_mode1;prev_mode2;prev_mode3;prev_mode4;prev_mode5;Column1
63;-3;30;-6;29;0;0;0;1;0;0;0;0;1;0;0;
60;-3;30;0;57;28;0;0;1;0;0;0;0;1;0;0;
58;-2;27;-3;59;2;0;0;1;0;0;0;0;1;0;0;
56;-2;30;3;61;2;0;0;1;0;0;0;0;1;0;0;
53;-3;28;-2;64;3;0;1;0;0;0;0;0;1;0;0;
51;-2;25;-3;71;7;0;1;0;0;0;0;1;0;0;0;
50;-1;24;-1;72;1;0;1;0;0;0;0;1;0;0;0;
47;-3;27;3;77;5;0;0;1;0;0;0;1;0;0;0;
47;0;29;2;26;-51;0;0;1;0;0;0;0;1;0;0;
46;-1;29;0;25;-1;0;0;1;0;0;0;0;1;0;0;
93;47;30;1;27;2;0;0;1;0;0;0;0;1;0;0;
90;-3;28;-2;26;-1;0;1;0;0;0;0;0;1;0;0;
259;169;28;0;26;0;0;1;0;0;0;0;1;0;0;0;
258;-1;26;-2;27;1;0;1;0;0;0;0;1;0;0;0;
254;-4;26;0;28;1;0;0;1;0;0;0;1;0;0;0;
251;-3;28;2;26;-2;0;0;1;0;0;0;0;1;0;0;
248;-3;26;-2;27;1;0;0;1;0;0;0;0;1;0;0;
245;-3;27;1;30;3;0;0;1;0;0;0;0;1;0;0;
243;-2;27;0;31;1;0;1;0;0;0;0;0;1;0;0;
240;-3;26;-1;33;2;0;0;1;0;0;0;1;0;0;0;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
