front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
400,0,36,-1,17,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,364,20,3,0,0,1,0,0,0,0,1,0,0,
400,0,32,-368,19,-1,0,0,1,0,0,0,0,1,0,0,
400,0,30,-2,20,1,0,0,1,0,0,0,0,1,0,0,
400,0,29,-1,21,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,371,22,1,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,24,2,0,0,1,0,0,0,0,0,1,0,
60,-340,400,0,24,0,0,0,1,0,0,0,0,1,0,0,
58,-2,27,-373,26,2,0,0,1,0,0,0,0,1,0,0,
56,-2,27,0,25,-1,0,0,1,0,0,0,0,1,0,0,
400,344,27,0,25,0,0,0,1,0,0,0,0,1,0,0,
400,0,29,2,26,1,0,0,1,0,0,0,0,1,0,0,
400,0,30,1,25,-1,0,0,1,0,0,0,0,1,0,0,
400,0,29,-1,43,18,0,0,1,0,0,0,0,1,0,0,
400,0,30,1,26,-17,0,0,1,0,0,0,0,1,0,0,
400,0,30,0,26,0,0,0,1,0,0,0,0,1,0,0,
400,0,29,-1,29,3,0,0,1,0,0,0,0,1,0,0,
400,0,29,0,29,0,0,0,1,0,0,0,0,1,0,0,
197,-203,30,1,26,-3,0,0,1,0,0,0,0,1,0,0,
400,203,29,-1,27,1,0,0,1,0,0,0,0,1,0,0,
400,0,30,1,27,0,0,0,1,0,0,0,0,1,0,0,
309,-91,30,0,27,0,0,0,1,0,0,0,0,1,0,0,
307,-2,30,0,26,-1,0,0,1,0,0,0,0,1,0,0,
304,-3,31,1,28,2,0,0,1,0,0,0,0,1,0,0,
302,-2,35,4,27,-1,0,0,1,0,0,0,0,1,0,0,
299,-3,36,1,29,2,0,0,0,1,0,0,0,1,0,0,
64,-235,400,364,28,-1,0,0,1,0,0,0,0,0,1,0,
101,37,30,-370,30,2,0,0,1,0,0,0,0,1,0,0,
104,3,30,0,31,1,0,0,1,0,0,0,0,1,0,0,
102,-2,30,0,31,0,0,0,1,0,0,0,0,1,0,0,
101,-1,30,0,31,0,0,0,1,0,0,0,0,1,0,0,
257,156,30,0,31,0,0,0,1,0,0,0,0,1,0,0,
255,-2,30,0,31,0,0,0,1,0,0,0,0,1,0,0,
251,-4,32,2,30,-1,0,0,1,0,0,0,0,1,0,0,
103,-148,31,-1,29,-1,0,0,1,0,0,0,0,1,0,0,
100,-3,31,0,30,1,0,0,1,0,0,0,0,1,0,0,
246,146,30,-1,126,96,0,0,1,0,0,0,0,1,0,0,
244,-2,31,1,63,-63,0,0,1,0,0,0,0,1,0,0,
240,-4,31,0,62,-1,0,0,1,0,0,0,0,1,0,0,
240,0,31,0,36,-26,0,0,1,0,0,0,0,1,0,0,
59,-181,30,-1,63,27,0,0,1,0,0,0,0,1,0,0,
400,341,30,0,62,-1,0,0,1,0,0,0,0,1,0,0,
