front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5,
41,-2,400,0,69,2,1,0,0,0,0,0,0,1,0,0,
40,-1,400,0,67,-2,1,0,0,0,0,1,0,0,0,0,
40,0,400,0,69,2,0,1,0,0,0,1,0,0,0,0,
40,0,400,0,68,-1,0,1,0,0,0,0,1,0,0,0,
39,-1,400,0,68,0,0,1,0,0,0,0,1,0,0,0,
36,-3,72,-328,69,1,0,1,0,0,0,0,1,0,0,0,
35,-1,73,1,71,2,0,1,0,0,0,0,1,0,0,0,
33,-2,400,327,74,3,0,1,0,0,0,0,1,0,0,0,
31,-2,168,-232,60,-14,0,1,0,0,0,0,1,0,0,0,
29,-2,29,-139,59,-1,1,0,0,0,0,0,1,0,0,0,
28,-1,29,0,60,1,1,0,0,0,0,1,0,0,0,0,
29,1,26,-3,59,-1,1,0,0,0,0,1,0,0,0,0,
50,21,26,0,400,341,1,0,0,0,0,1,0,0,0,0,
51,1,29,3,70,-330,0,1,0,0,0,1,0,0,0,0,
400,349,31,2,36,-34,0,0,1,0,0,0,1,0,0,0,
400,0,36,5,36,0,0,0,1,0,0,0,0,1,0,0,
331,-69,36,0,35,-1,0,0,1,0,0,0,0,1,0,0,
326,-5,33,-3,147,112,0,0,0,1,0,0,0,1,0,0,
324,-2,33,0,400,253,0,0,1,0,0,0,0,0,1,0,
322,-2,29,-4,400,0,0,0,1,0,0,0,0,1,0,0,
319,-3,27,-2,400,0,0,0,1,0,0,0,0,1,0,0,
400,81,27,0,400,0,0,1,0,0,0,0,0,1,0,0,
400,0,25,-2,41,-359,0,1,0,0,0,0,1,0,0,0,
309,-91,24,-1,42,1,0,0,1,0,0,0,1,0,0,0,
400,91,26,2,40,-2,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,47,7,0,0,1,0,0,0,0,1,0,0,
400,0,28,2,44,-3,0,0,1,0,0,0,0,1,0,0,
295,-105,27,-1,47,3,0,0,1,0,0,0,0,1,0,0,
293,-2,26,-1,50,3,0,0,1,0,0,0,0,1,0,0,
400,107,24,-2,50,0,0,1,0,0,0,0,0,1,0,0,
400,0,23,-1,56,6,0,0,1,0,0,0,1,0,0,0,
283,-117,24,1,55,-1,0,1,0,0,0,0,0,1,0,0,
280,-3,27,3,57,2,0,0,1,0,0,0,1,0,0,0,
277,-3,27,0,24,-33,0,0,1,0,0,0,0,1,0,0,
274,-3,27,0,24,0,0,0,1,0,0,0,0,1,0,0,
272,-2,400,373,25,1,0,0,1,0,0,0,0,1,0,0,
268,-4,400,0,24,-1,0,0,1,0,0,0,0,1,0,0,
264,-4,400,0,27,3,0,0,0,1,0,0,0,1,0,0,
261,-3,400,0,27,0,0,0,0,1,0,0,0,0,1,0,
258,-3,400,0,36,9,0,0,1,0,0,0,0,0,1,0,
254,-4,400,0,38,2,0,0,0,1,0,0,0,1,0,0,
400,146,104,-296,39,1,0,0,1,0,0,0,0,0,1,0,
400,0,56,-48,42,3,0,0,0,1,0,0,0,1,0,0,
400,0,56,0,44,2,0,0,0,1,0,0,0,0,1,0,
400,0,57,1,400,356,0,0,0,1,0,0,0,0,1,0,
400,0,53,-4,400,0,0,0,0,1,0,0,0,0,1,0,
400,0,49,-4,43,-357,0,0,0,1,0,0,0,0,1,0,
400,0,46,-3,74,31,0,0,1,0,0,0,0,0,1,0,
91,-309,44,-2,80,6,0,0,0,1,0,0,0,1,0,0,
88,-3,43,-1,77,-3,0,0,1,0,0,0,0,0,1,0,
84,-4,41,-2,81,4,0,0,1,0,0,0,0,1,0,0,
82,-2,39,-2,80,-1,0,0,1,0,0,0,0,1,0,0,
79,-3,38,-1,82,2,0,0,1,0,0,0,0,1,0,0,
76,-3,36,-2,84,2,0,0,1,0,0,0,0,1,0,0,
74,-2,35,-1,87,3,0,0,1,0,0,0,0,1,0,0,
72,-2,26,-9,89,2,0,0,1,0,0,0,0,1,0,0,
70,-2,27,1,400,311,0,0,1,0,0,0,0,1,0,0,
67,-3,30,3,400,0,0,0,1,0,0,0,0,1,0,0,
64,-3,62,32,22,-378,0,0,1,0,0,0,0,1,0,0,
62,-2,60,-2,24,2,0,0,1,0,0,0,0,1,0,0,
60,-2,27,-33,25,1,0,0,1,0,0,0,0,1,0,0,
58,-2,27,0,24,-1,0,0,1,0,0,0,0,1,0,0,
56,-2,27,0,24,0,0,0,1,0,0,0,0,1,0,0,
55,-1,53,26,26,2,0,0,1,0,0,0,0,1,0,0,
53,-2,50,-3,24,-2,0,0,1,0,0,0,0,1,0,0,
51,-2,48,-2,27,3,0,0,1,0,0,0,0,1,0,0,
50,-1,47,-1,25,-2,0,0,1,0,0,0,0,1,0,0,
50,0,45,-2,27,2,0,0,1,0,0,0,0,1,0,0,
48,-2,43,-2,29,2,0,0,1,0,0,0,0,1,0,0,
46,-2,41,-2,57,28,0,0,1,0,0,0,0,1,0,0,
114,68,40,-1,54,-3,0,0,1,0,0,0,0,1,0,0,
112,-2,38,-2,56,2,0,0,1,0,0,0,0,1,0,0,
109,-3,36,-2,57,1,0,0,1,0,0,0,0,1,0,0,
107,-2,34,-2,56,-1,0,0,1,0,0,0,0,1,0,0,
105,-2,33,-1,29,-27,0,0,1,0,0,0,0,1,0,0,
102,-3,32,-1,52,23,0,0,1,0,0,0,0,1,0,0,
100,-2,31,-1,30,-22,0,0,1,0,0,0,0,1,0,0,
97,-3,29,-2,108,78,0,1,0,0,0,0,0,1,0,0,
94,-3,29,0,34,-74,0,1,0,0,0,0,1,0,0,0,
93,-1,400,371,26,-8,0,0,1,0,0,0,1,0,0,0,
96,3,96,-304,26,0,0,0,1,0,0,0,0,1,0,0,
400,304,87,-9,26,0,0,0,0,1,0,0,0,1,0,0,
400,0,84,-3,28,2,0,0,0,1,0,0,0,0,1,0,
350,-50,29,-55,29,1,0,0,1,0,0,0,0,0,1,0,
346,-4,26,-3,31,2,0,0,1,0,0,0,0,1,0,0,
81,-265,27,1,30,-1,0,0,1,0,0,0,0,1,0,0,
78,-3,28,1,32,2,0,1,0,0,0,0,0,1,0,0,
75,-3,28,0,112,80,0,0,1,0,0,0,1,0,0,0,
72,-3,28,0,36,-76,0,0,1,0,0,0,0,1,0,0,
72,0,26,-2,57,21,0,0,1,0,0,0,0,1,0,0,
72,0,27,1,24,-33,0,0,1,0,0,0,0,1,0,0,
69,-3,28,1,25,1,0,0,1,0,0,0,0,1,0,0,
400,331,30,2,27,2,0,0,1,0,0,0,0,1,0,0,
400,0,28,-2,26,-1,0,0,1,0,0,0,0,1,0,0,
64,-336,28,0,25,-1,0,0,1,0,0,0,0,1,0,0,
60,-4,29,1,25,0,0,0,1,0,0,0,0,1,0,0,
58,-2,28,-1,26,1,0,0,1,0,0,0,0,1,0,0,
56,-2,28,0,25,-1,0,0,1,0,0,0,0,1,0,0,
56,0,28,0,26,1,0,0,1,0,0,0,0,1,0,0,
56,0,28,0,28,2,0,0,1,0,0,0,0,1,0,0,
308,252,28,0,27,-1,0,0,1,0,0,0,0,1,0,0,
306,-2,30,2,27,0,0,0,1,0,0,0,0,1,0,0,
303,-3,30,0,27,0,0,0,1,0,0,0,0,1,0,0,
