front;front_delta;front_right;front_right_delta;rear_right;rear_right_delta;mode1;mode2;mode3;mode4;mode5;prev_mode1;prev_mode2;prev_mode3;prev_mode4;prev_mode5;Column1
109;-3;36;-2;57;1;0;0;1;0;0;0;0;1;0;0;
107;-2;34;-2;56;-1;0;0;1;0;0;0;0;1;0;0;
105;-2;33;-1;29;-27;0;0;1;0;0;0;0;1;0;0;
102;-3;32;-1;52;23;0;0;1;0;0;0;0;1;0;0;
100;-2;31;-1;30;-22;0;1;0;0;0;0;0;1;0;0;
97;-3;29;-2;108;78;0;1;0;0;0;0;1;0;0;0;
94;-3;29;0;34;-74;0;0;1;0;0;0;1;0;0;0;
93;-1;400;371;26;-8;0;0;1;0;0;0;0;1;0;0;
96;3;96;-304;26;0;0;0;0;1;0;0;0;1;0;0;
400;304;87;-9;26;0;0;0;0;1;0;0;0;0;1;0;
400;0;84;-3;28;2;0;0;1;0;0;0;0;0;1;0;
350;-50;29;-55;29;1;0;0;1;0;0;0;0;1;0;0;
346;-4;26;-3;31;2;0;0;1;0;0;0;0;1;0;0;
81;-265;27;1;30;-1;0;1;0;0;0;0;0;1;0;0;
78;-3;28;1;32;2;0;0;1;0;0;0;1;0;0;0;
75;-3;28;0;112;80;0;0;1;0;0;0;0;1;0;0;
72;-3;28;0;36;-76;0;0;1;0;0;0;0;1;0;0;
72;0;26;-2;57;21;0;0;1;0;0;0;0;1;0;0;
72;0;27;1;24;-33;0;0;1;0;0;0;0;1;0;0;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
