front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
56,-3,30,-1,112,2,0,0,1,0,0,0,0,1,0,0,
168,112,29,-1,117,5,0,0,1,0,0,0,0,1,0,0,
164,-4,34,5,116,-1,0,1,0,0,0,0,0,1,0,0,
161,-3,24,-10,117,1,0,1,0,0,0,0,1,0,0,0,
159,-2,32,8,118,1,0,1,0,0,0,0,1,0,0,0,
156,-3,31,-1,125,7,0,1,0,0,0,0,1,0,0,0,
139,-17,30,-1,64,-61,0,1,0,0,0,0,1,0,0,0,
137,-2,31,1,43,-21,0,0,1,0,0,0,1,0,0,0,
133,-4,32,1,43,0,0,0,1,0,0,0,0,1,0,0,
131,-2,33,1,44,1,0,0,1,0,0,0,0,1,0,0,
128,-3,65,32,48,4,0,0,1,0,0,0,0,1,0,0,
125,-3,32,-33,47,-1,0,0,1,0,0,0,0,1,0,0,
123,-2,31,-1,50,3,0,0,1,0,0,0,0,1,0,0,
121,-2,31,0,50,0,0,0,1,0,0,0,0,1,0,0,
118,-3,30,-1,51,1,0,0,1,0,0,0,0,1,0,0,
116,-2,30,0,53,2,0,0,1,0,0,0,0,1,0,0,
113,-3,58,28,56,3,0,0,1,0,0,0,0,1,0,0,
112,-1,58,0,37,-19,0,0,1,0,0,0,0,1,0,0,
109,-3,57,-1,37,0,0,0,1,0,0,0,0,1,0,0,
106,-3,57,0,39,2,0,0,1,0,0,0,0,1,0,0,
103,-3,56,-1,40,1,0,0,1,0,0,0,0,1,0,0,
101,-2,56,0,40,0,0,0,1,0,0,0,0,1,0,0,
98,-3,55,-1,43,3,0,0,0,1,0,0,0,1,0,0,
95,-3,55,0,43,0,0,0,0,1,0,0,0,0,1,0,
93,-2,54,-1,170,127,0,0,0,1,0,0,0,0,1,0,
91,-2,44,-10,171,1,0,0,0,1,0,0,0,0,1,0,
90,-1,50,6,171,0,0,0,0,1,0,0,0,0,1,0,
82,-8,49,-1,172,1,0,0,0,1,0,0,0,0,1,0,
60,-22,46,-3,173,1,0,0,0,1,0,0,0,0,1,0,
48,-12,43,-3,174,1,0,0,1,0,0,0,0,0,1,0,
45,-3,42,-1,176,2,0,0,1,0,0,0,0,1,0,0,
42,-3,39,-3,184,8,0,0,1,0,0,0,0,1,0,0,
39,-3,37,-2,185,1,0,0,0,1,0,0,0,1,0,0,
37,-2,36,-1,180,-5,0,1,0,0,0,0,0,0,1,0,
35,-2,35,-1,187,7,0,1,0,0,0,0,1,0,0,0,
33,-2,42,7,189,2,0,1,0,0,0,0,1,0,0,0,
36,3,31,-11,181,-8,0,1,0,0,0,0,1,0,0,0,
38,2,29,-2,183,2,0,1,0,0,0,0,1,0,0,0,
