front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
50,-3,62,-2,400,0,0,0,1,0,0,0,0,1,0,0,
47,-3,56,-6,400,0,0,0,1,0,0,0,0,1,0,0,
44,-3,57,1,400,0,0,0,1,0,0,0,0,1,0,0,
40,-4,59,2,400,0,0,1,0,0,0,0,0,1,0,0,
37,-3,50,-9,400,0,0,1,0,0,0,0,1,0,0,0,
34,-3,50,0,400,0,0,1,0,0,0,0,1,0,0,0,
31,-3,50,0,400,0,0,1,0,0,0,0,1,0,0,0,
30,-1,56,6,400,0,0,1,0,0,0,0,1,0,0,0,
30,0,26,-30,400,0,0,1,0,0,0,0,1,0,0,0,
28,-2,24,-2,110,-290,0,1,0,0,0,0,1,0,0,0,
31,3,22,-2,400,290,0,1,0,0,0,0,1,0,0,0,
400,369,21,-1,50,-350,0,1,0,0,0,0,1,0,0,0,
400,0,20,-1,50,0,0,1,0,0,0,0,1,0,0,0,
400,0,20,0,57,7,0,1,0,0,0,0,1,0,0,0,
400,0,21,1,57,0,0,0,1,0,0,0,1,0,0,0,
400,0,22,1,63,6,0,0,1,0,0,0,0,1,0,0,
400,0,22,0,69,6,0,0,1,0,0,0,0,1,0,0,
400,0,21,-1,67,-2,0,0,1,0,0,0,0,1,0,0,
400,0,21,0,73,6,0,0,1,0,0,0,0,1,0,0,
400,0,20,-1,43,-30,0,0,1,0,0,0,0,1,0,0,
400,0,400,380,44,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,50,6,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,51,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,54,3,0,0,0,1,0,0,0,1,0,0,
400,0,400,0,56,2,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,58,2,0,0,0,1,0,0,0,0,1,0,
400,0,400,0,62,4,0,0,1,0,0,0,0,0,1,0,
400,0,400,0,65,3,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,67,2,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,68,1,0,0,0,1,0,0,0,1,0,0,
400,0,57,-343,70,2,0,0,0,1,0,0,0,0,1,0,
400,0,67,10,110,40,0,0,0,1,0,0,0,0,1,0,
400,0,52,-15,113,3,0,0,0,1,0,0,0,0,1,0,
400,0,50,-2,176,63,0,0,0,1,0,0,0,0,1,0,
400,0,400,350,400,224,0,0,1,0,0,0,0,0,1,0,
400,0,28,-372,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,25,-3,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,25,0,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,24,-1,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,23,-1,400,0,0,0,1,0,0,0,0,1,0,0,
