front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
45,0,65,-17,37,1,28,6.06,0,1,0,0,1,0
44,-1,64,-1,36,-1,28,5.35,0,1,0,0,1,0
43,-1,81,17,39,3,42,12.43,0,1,0,0,1,0
41,-2,81,0,42,3,39,13.49,1,0,0,0,1,0
40,-1,400,319,46,4,354,127.68,1,0,0,1,0,0
37,-3,400,0,46,0,354,127.68,1,0,0,1,0,0
36,-1,35,-365,146,100,-111,33.99,1,0,0,1,0,0
36,0,32,-3,86,-60,-54,11.72,1,0,0,1,0,0
42,6,31,-1,50,-36,-19,-1.36,1,0,0,1,0,0
41,-1,30,-1,57,7,-27,0.76,1,0,0,1,0,0
49,8,30,0,80,23,-50,8.89,1,0,0,1,0,0
133,84,30,0,80,0,-50,8.89,1,0,0,1,0,0
129,-4,30,0,81,1,-51,9.24,1,0,0,1,0,0
127,-2,31,1,84,3,-53,10.66,0,1,0,1,0,0
56,-71,36,5,400,316,-364,124.15,0,1,0,0,1,0
56,0,32,-4,39,-361,-7,-4.90,0,1,0,0,1,0
71,15,35,3,39,0,-4,-3.84,0,1,0,0,1,0
70,-1,33,-2,41,2,-8,-3.84,0,1,0,0,1,0
114,44,36,3,44,3,-8,-1.72,0,1,0,0,1,0
63,-51,37,1,43,-1,-6,-1.72,0,1,0,0,1,0
60,-3,36,-1,44,1,-8,-1.72,0,1,0,0,1,0
58,-2,32,-4,47,3,-15,-2.07,0,1,0,0,1,0
56,-2,31,-1,47,0,-16,-2.42,0,1,0,0,1,0
73,17,31,0,50,3,-19,-1.36,0,1,0,0,1,0
71,-2,30,-1,50,0,-20,-1.72,0,1,0,0,1,0
68,-3,31,1,52,2,-21,-0.66,0,1,0,0,1,0
66,-2,154,123,53,1,101,43.18,0,1,0,0,1,0
63,-3,125,-29,55,2,70,33.64,0,1,0,0,1,0
91,28,125,0,56,1,69,33.99,0,1,0,0,1,0
59,-32,117,-8,59,3,58,32.22,0,1,0,0,1,0
58,-1,115,-2,60,1,55,31.87,0,0,1,0,1,0
76,18,116,1,61,1,55,32.58,0,0,1,0,0,1
71,-5,114,-2,63,2,51,32.58,0,0,1,0,0,1
80,9,112,-2,64,1,48,32.22,0,0,1,0,0,1
79,-1,110,-2,67,3,43,32.58,0,0,1,0,0,1
78,-1,108,-2,69,2,39,32.58,0,0,1,0,0,1
77,-1,107,-1,68,-1,39,31.87,0,1,0,0,0,1
77,0,105,-2,56,-12,49,26.92,0,1,0,0,1,0
78,1,103,-2,73,17,30,32.22,0,1,0,0,1,0
130,52,102,-1,37,-36,65,19.14,0,1,0,0,1,0
127,-3,100,-2,322,285,-222,119.20,0,1,0,0,1,0
125,-2,98,-2,325,3,-227,119.55,0,1,0,0,1,0
101,-24,95,-3,60,-265,35,24.80,0,0,1,0,1,0
99,-2,93,-2,61,1,32,24.45,0,0,1,0,0,1
97,-2,91,-2,62,1,29,24.09,0,0,1,0,0,1
94,-3,89,-2,129,67,-40,47.07,0,0,1,0,0,1
91,-3,87,-2,64,-65,23,23.39,0,0,1,0,0,1
89,-2,87,0,134,70,-47,48.13,0,1,0,0,0,1
87,-2,85,-2,353,219,-268,124.85,0,1,0,0,1,0
85,-2,84,-1,354,1,-270,124.85,0,1,0,0,1,0
82,-3,82,-2,129,-225,-47,44.60,0,1,0,0,1,0
80,-2,80,-2,234,105,-154,81.01,0,1,0,0,1,0
78,-2,77,-3,110,-124,-33,36.11,0,1,0,0,1,0
76,-2,76,-1,85,-25,-9,26.92,0,1,0,0,1,0
74,-2,79,3,248,163,-169,85.61,0,0,1,0,1,0
71,-3,71,-8,103,-145,-32,31.52,0,0,1,0,0,1
69,-2,70,-1,56,-47,14,14.55,0,0,1,0,0,1
67,-2,74,4,101,45,-27,31.87,0,1,0,0,0,1
65,-2,75,1,78,-23,-3,24.09,0,1,0,0,1,0
63,-2,67,-8,80,2,-13,21.97,0,1,0,0,1,0
61,-2,67,0,25,-55,42,2.53,0,1,0,0,1,0
59,-2,64,-3,24,-1,40,1.11,0,1,0,0,1,0
57,-2,67,3,25,1,42,2.53,0,1,0,0,1,0
55,-2,57,-10,28,3,29,0.05,0,0,1,0,1,0
53,-2,59,2,26,-2,33,0.05,0,0,1,0,0,1
51,-2,136,77,29,3,107,28.34,0,1,0,0,0,1
49,-2,29,-107,91,62,-62,12.43,0,1,0,0,1,0
48,-1,29,0,94,3,-65,13.49,1,0,0,0,1,0
46,-2,28,-1,38,-56,-10,-6.67,1,0,0,1,0,0
44,-2,29,1,96,58,-67,14.19,1,0,0,1,0,0
42,-2,50,21,25,-71,25,-3.48,0,1,0,1,0,0
41,-1,52,2,24,-1,28,-3.13,0,1,0,0,1,0
40,-1,50,-2,25,1,25,-3.48,0,1,0,0,1,0
38,-2,50,0,25,0,25,-3.48,1,0,0,0,1,0
36,-2,48,-2,25,0,23,-4.19,1,0,0,1,0,0
