front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
138,0,28,0,30,1,-2,-9.49,0,1,0,0,1,0
137,-1,30,2,30,0,0,-8.79,0,1,0,0,1,0
135,-2,28,-2,30,0,-2,-9.49,0,1,0,0,1,0
133,-2,26,-2,29,-1,-3,-10.55,0,1,0,0,1,0
130,-3,26,0,31,2,-5,-9.85,0,1,0,0,1,0
128,-2,26,0,47,16,-21,-4.19,0,1,0,0,1,0
126,-2,25,-1,50,3,-25,-3.48,1,0,0,0,1,0
124,-2,25,0,50,0,-25,-3.48,0,1,0,1,0,0
121,-3,28,3,30,-20,-2,-9.49,0,1,0,0,1,0
119,-2,28,0,29,-1,-1,-9.85,0,1,0,0,1,0
117,-2,28,0,57,28,-29,0.05,0,1,0,0,1,0
115,-2,30,2,63,6,-33,2.88,0,1,0,0,1,0
113,-2,30,0,65,2,-35,3.59,0,1,0,0,1,0
111,-2,29,-1,60,-5,-31,1.47,0,1,0,0,1,0
109,-2,36,7,61,1,-25,4.29,0,1,0,0,1,0
107,-2,31,-5,26,-35,5,-9.85,0,1,0,0,1,0
87,-20,36,5,30,4,6,-6.67,0,1,0,0,1,0
103,16,33,-3,29,-1,4,-8.08,0,1,0,0,1,0
101,-2,29,-4,26,-3,3,-10.55,0,1,0,0,1,0
102,1,106,77,26,0,80,16.67,0,1,0,0,1,0
99,-3,104,-2,26,0,78,15.96,0,1,0,0,1,0
98,-1,102,-2,26,0,76,15.25,0,1,0,0,1,0
79,-19,99,-3,27,1,72,14.55,0,1,0,0,1,0
70,-9,36,-63,27,0,9,-7.73,0,1,0,0,1,0
59,-11,36,0,26,-1,10,-8.08,0,1,0,0,1,0
58,-1,93,57,27,1,66,12.43,0,0,1,0,1,0
65,7,36,-57,27,0,9,-7.73,0,0,1,0,0,1
56,-9,37,1,30,3,7,-6.31,0,1,0,0,0,1
58,2,32,-5,30,0,2,-8.08,0,1,0,0,1,0
51,-7,32,0,29,-1,3,-8.43,0,1,0,0,1,0
50,-1,32,0,33,4,-1,-7.02,0,1,0,0,1,0
56,6,31,-1,29,-4,2,-8.79,0,1,0,0,1,0
50,-6,31,0,29,0,2,-8.79,0,0,1,0,1,0
47,-3,32,1,29,0,3,-8.43,0,1,0,0,0,1
73,26,31,-1,30,1,1,-8.43,0,1,0,0,1,0
71,-2,31,0,30,0,1,-8.43,0,1,0,0,1,0
45,-26,32,1,30,0,2,-8.08,0,1,0,0,1,0
42,-3,31,-1,29,-1,2,-8.79,0,1,0,0,1,0
37,-5,32,1,30,1,2,-8.08,0,1,0,0,1,0
65,28,32,0,30,0,2,-8.08,0,1,0,0,1,0
63,-2,32,0,30,0,2,-8.08,0,1,0,0,1,0
59,-4,32,0,29,-1,3,-8.43,0,1,0,0,1,0
56,-3,32,0,29,0,3,-8.43,0,1,0,0,1,0
58,2,32,0,30,1,2,-8.08,0,1,0,0,1,0
56,-2,32,0,30,0,2,-8.08,0,1,0,0,1,0
56,0,33,1,30,0,3,-7.73,0,1,0,0,1,0
54,-2,32,-1,30,0,2,-8.08,0,1,0,0,1,0
43,-11,33,1,30,0,3,-7.73,0,1,0,0,1,0
52,9,32,-1,30,0,2,-8.08,0,1,0,0,1,0
50,-2,32,0,30,0,2,-8.08,0,1,0,0,1,0
49,-1,33,1,30,0,3,-7.73,0,1,0,0,1,0
46,-3,33,0,31,1,2,-7.37,0,1,0,0,1,0
46,0,34,1,30,-1,4,-7.37,0,1,0,0,1,0
44,-2,33,-1,30,0,3,-7.73,0,1,0,0,1,0
62,18,33,0,31,1,2,-7.37,0,1,0,0,1,0
60,-2,33,0,31,0,2,-7.37,0,1,0,0,1,0
37,-23,34,1,30,-1,4,-7.37,0,1,0,0,1,0
57,20,34,0,31,1,3,-7.02,0,1,0,0,1,0
55,-2,35,1,31,0,4,-6.67,1,0,0,0,1,0
53,-2,35,0,31,0,4,-6.67,1,0,0,1,0,0
16,-37,36,1,30,-1,6,-6.67,1,0,0,1,0,0
51,35,43,7,29,-1,14,-4.54,1,0,0,1,0,0
49,-2,47,4,29,0,18,-3.13,0,1,0,1,0,0
49,0,47,0,29,0,18,-3.13,1,0,0,0,1,0
48,-1,46,-1,30,1,16,-3.13,0,1,0,1,0,0
47,-1,47,1,29,-1,18,-3.13,0,1,0,0,1,0
46,-1,44,-3,31,2,13,-3.48,0,1,0,0,1,0
43,-3,43,-1,32,1,11,-3.48,0,1,0,0,1,0
43,0,42,-1,33,1,9,-3.48,0,1,0,0,1,0
41,-2,39,-3,35,2,4,-3.84,1,0,0,0,1,0
40,-1,38,-1,35,0,3,-4.19,1,0,0,1,0,0
37,-3,37,-1,36,1,1,-4.19,1,0,0,1,0,0
37,0,35,-2,37,1,-2,-4.54,0,1,0,1,0,0
56,19,34,-1,37,0,-3,-4.90,0,1,0,0,1,0
56,0,33,-1,39,2,-6,-4.54,1,0,0,0,1,0
50,-6,32,-1,41,2,-9,-4.19,1,0,0,1,0,0
62,12,30,-2,16,-25,14,-13.74,0,1,0,1,0,0
56,-6,30,0,16,0,14,-13.74,0,1,0,0,1,0
57,1,29,-1,45,29,-16,-3.84,1,0,0,0,1,0
56,-1,28,-1,48,3,-20,-3.13,1,0,0,1,0,0
53,-3,28,0,42,-6,-14,-5.25,1,0,0,1,0,0
50,-3,29,1,42,0,-13,-4.90,0,1,0,1,0,0
49,-1,28,-1,41,-1,-13,-5.61,0,1,0,0,1,0
46,-3,28,0,41,0,-13,-5.61,1,0,0,0,1,0
45,-1,28,0,43,2,-15,-4.90,1,0,0,1,0,0
42,-3,29,1,44,1,-15,-4.19,0,1,0,1,0,0
41,-1,30,1,45,1,-15,-3.48,0,1,0,0,1,0
37,-4,30,0,46,1,-16,-3.13,1,0,0,0,1,0
37,0,30,0,48,2,-18,-2.42,1,0,0,1,0,0
34,-3,48,18,30,-18,18,-2.42,1,0,0,1,0,0
32,-2,45,-3,28,-2,17,-4.19,1,0,0,1,0,0
31,-1,45,0,29,1,16,-3.84,1,0,0,1,0,0
