front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
42,0,57,11,206,-1,0,1,0,0,0,0,0,1,0,0,
41,-1,56,-1,248,42,0,1,0,0,0,0,1,0,0,0,
40,-1,56,0,400,152,0,1,0,0,0,0,1,0,0,0,
37,-3,38,-18,204,-196,0,1,0,0,0,0,1,0,0,0,
36,-1,36,-2,203,-1,0,1,0,0,0,0,1,0,0,0,
36,0,34,-2,196,-7,0,1,0,0,0,0,1,0,0,0,
63,27,32,-2,70,-126,0,1,0,0,0,0,1,0,0,0,
59,-4,30,-2,58,-12,0,1,0,0,0,0,1,0,0,0,
56,-3,29,-1,57,-1,0,1,0,0,0,0,1,0,0,0,
55,-1,29,0,45,-12,0,1,0,0,0,0,1,0,0,0,
53,-2,29,0,46,1,0,1,0,0,0,0,1,0,0,0,
50,-3,29,0,49,3,0,1,0,0,0,0,1,0,0,0,
48,-2,29,0,50,1,0,1,0,0,0,0,1,0,0,0,
46,-2,30,1,41,-9,0,1,0,0,0,0,1,0,0,0,
44,-2,32,2,41,0,0,0,1,0,0,0,1,0,0,0,
43,-1,33,1,42,1,0,0,1,0,0,0,0,1,0,0,
39,-4,51,18,42,0,0,1,0,0,0,0,0,1,0,0,
37,-2,33,-18,44,2,0,1,0,0,0,0,1,0,0,0,
35,-2,35,2,32,-12,0,1,0,0,0,0,1,0,0,0,
32,-3,48,13,30,-2,0,1,0,0,0,0,1,0,0,0,
32,0,47,-1,29,-1,0,1,0,0,0,0,1,0,0,0,
29,-3,31,-16,29,0,0,1,0,0,0,0,1,0,0,0,
28,-1,28,-3,30,1,0,1,0,0,0,0,1,0,0,0,
27,-1,26,-2,30,0,0,1,0,0,0,0,1,0,0,0,
27,0,24,-2,31,1,0,1,0,0,0,0,1,0,0,0,
26,-1,22,-2,33,2,0,1,0,0,0,0,1,0,0,0,
29,3,22,0,34,1,0,1,0,0,0,0,1,0,0,0,
32,3,21,-1,35,1,0,1,0,0,0,0,1,0,0,0,
30,-2,20,-1,36,1,0,1,0,0,0,0,1,0,0,0,
50,20,19,-1,39,3,0,1,0,0,0,0,1,0,0,0,
49,-1,19,0,42,3,0,1,0,0,0,0,1,0,0,0,
46,-3,20,1,44,2,0,1,0,0,0,0,1,0,0,0,
46,0,20,0,48,4,0,1,0,0,0,0,1,0,0,0,
69,23,21,1,50,2,0,1,0,0,0,0,1,0,0,0,
68,-1,400,379,26,-24,0,0,1,0,0,0,1,0,0,0,
400,332,400,0,23,-3,0,0,1,0,0,0,0,1,0,0,
400,0,29,-371,24,1,0,0,1,0,0,0,0,1,0,0,
400,0,25,-4,23,-1,0,0,1,0,0,0,0,1,0,0,
400,0,26,1,23,0,0,0,1,0,0,0,0,1,0,0,
400,0,26,0,23,0,0,0,1,0,0,0,0,1,0,0,
