front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,mode1,mode2,mode3,mode4,mode5,prev_mode1,prev_mode2,prev_mode3,prev_mode4,prev_mode5
58,0,400,269,65,2,0,0,1,0,0,0,0,1,0,0,
56,-2,127,-273,68,3,0,0,1,0,0,0,0,1,0,0,
54,-2,186,59,70,2,0,0,1,0,0,0,0,1,0,0,
52,-2,130,-56,78,8,0,0,1,0,0,0,0,1,0,0,
50,-2,181,51,85,7,0,0,1,0,0,0,0,1,0,0,
400,350,121,-60,89,4,0,0,1,0,0,0,0,1,0,0,
400,0,120,-1,400,311,0,0,1,0,0,0,0,1,0,0,
400,0,119,-1,96,-304,0,0,1,0,0,0,0,1,0,0,
400,0,115,-4,400,304,0,0,1,0,0,0,0,1,0,0,
400,0,112,-3,400,0,0,1,0,0,0,0,0,1,0,0,
400,0,76,-36,400,0,0,1,0,0,0,0,1,0,0,0,
400,0,28,-48,400,0,0,0,1,0,0,0,1,0,0,0,
400,0,28,0,400,0,0,1,0,0,0,0,0,1,0,0,
400,0,400,372,113,-287,0,0,1,0,0,0,1,0,0,0,
400,0,56,-344,113,0,0,0,1,0,0,0,0,1,0,0,
400,0,52,-4,114,1,0,0,0,1,0,0,0,1,0,0,
400,0,50,-2,400,286,0,0,0,1,0,0,0,0,1,0,
400,0,48,-2,400,0,0,0,1,0,0,0,0,0,1,0,
400,0,29,-19,400,0,0,0,1,0,0,0,0,1,0,0,
400,0,26,-3,400,0,0,1,0,0,0,0,0,1,0,0,
400,0,26,0,400,0,0,0,1,0,0,0,1,0,0,0,
400,0,29,3,30,-370,0,0,1,0,0,0,0,1,0,0,
400,0,36,7,31,1,0,0,1,0,0,0,0,1,0,0,
400,0,400,364,400,369,0,0,1,0,0,0,0,1,0,0,
400,0,400,0,39,-361,0,0,1,0,0,0,0,1,0,0,
400,0,122,-278,400,361,0,0,1,0,0,0,0,1,0,0,
400,0,119,-3,30,-370,0,0,1,0,0,0,0,1,0,0,
