front,front_delta,front_right,front_right_delta,rear_right,rear_right_delta,right_angle,wall_error,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
69,-331,27,-373,29,-371,-2,-10.20,1,0,0,-1,-1,-1
73,4,27,0,30,1,-3,-9.85,0,1,0,1,0,0
106,33,30,3,32,2,-2,-8.08,0,1,0,0,1,0
105,-1,23,-7,19,-13,4,-15.15,-1,-1,-1,-1,-1,-1
98,-7,16,-7,63,44,-47,-2.07,-1,-1,-1,-1,-1,-1
96,-2,32,16,16,-47,16,-13.03,-1,-1,-1,-1,-1,-1
96,0,32,0,16,0,16,-13.03,-1,-1,-1,-1,-1,-1
95,-1,32,0,16,0,16,-13.03,-1,-1,-1,-1,-1,-1
97,2,32,0,16,0,16,-13.03,-1,-1,-1,-1,-1,-1
96,-1,32,0,16,0,16,-13.03,-1,-1,-1,-1,-1,-1
96,0,32,0,16,0,16,-13.03,0,1,0,-1,-1,-1
96,0,20,-12,37,21,-17,-9.85,0,1,0,0,1,0
96,0,31,11,17,-20,14,-13.03,0,1,0,0,1,0
73,-23,29,-2,24,7,5,-11.26,0,1,0,0,1,0
56,-17,19,-10,29,5,-10,-13.03,0,1,0,0,1,0
69,13,36,17,16,-13,20,-11.62,0,1,0,0,1,0
66,-3,56,20,16,0,40,-4.54,0,1,0,0,1,0
67,1,36,-20,20,4,16,-10.20,0,1,0,0,1,0
60,-7,30,-6,22,2,8,-11.62,0,1,0,0,1,0
70,10,37,7,23,1,14,-8.79,0,1,0,0,1,0
65,-5,20,-17,50,27,-30,-5.25,0,1,0,0,1,0
72,7,28,8,16,-34,12,-14.44,0,1,0,0,1,0
70,-2,47,19,54,38,-7,5.71,0,1,0,0,1,0
60,-10,25,-22,57,3,-32,-1.01,0,1,0,0,1,0
70,10,39,14,36,-21,3,-3.48,0,1,0,0,1,0
67,-3,39,0,21,-15,18,-8.79,0,1,0,0,1,0
53,-14,400,361,42,21,358,126.27,0,1,0,0,1,0
56,3,16,-384,57,15,-41,-4.19,0,1,0,0,1,0
56,0,17,1,39,-18,-22,-10.20,0,1,0,0,1,0
54,-2,29,12,29,-10,0,-9.49,0,1,0,0,1,0
49,-5,31,2,40,11,-9,-4.90,0,1,0,0,1,0
49,0,19,-12,35,-5,-16,-10.91,0,1,0,0,1,0
44,-5,52,33,37,2,15,1.47,0,1,0,0,1,0
43,-1,39,-13,36,-1,3,-3.48,0,1,0,0,1,0
39,-4,36,-3,16,-20,20,-11.62,0,1,0,0,1,0
36,-3,37,1,37,21,0,-3.84,0,1,0,0,1,0
46,10,30,-7,24,-13,6,-10.91,0,1,0,0,1,0
43,-3,16,-14,21,-3,-5,-16.92,1,0,0,0,1,0
41,-2,17,1,16,-5,1,-18.33,1,0,0,1,0,0
40,-1,50,33,36,20,14,0.41,1,0,0,1,0,0
38,-2,58,8,50,14,8,8.18,1,0,0,1,0,0
36,-2,49,-9,36,-14,13,0.05,1,0,0,1,0,0
34,-2,16,-33,23,-13,-7,-16.21,1,0,0,1,0,0
34,0,36,20,52,29,-16,1.11,1,0,0,1,0,0
32,-2,19,-17,50,-2,-31,-5.61,1,0,0,1,0,0
32,0,29,10,16,-34,13,-14.09,1,0,0,1,0,0
32,0,22,-7,23,7,-1,-14.09,1,0,0,1,0,0
31,-1,27,5,400,377,-373,120.97,1,0,0,1,0,0
33,2,28,1,66,-334,-38,3.23,1,0,0,1,0,0
