front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
64,200,200,200,200,200,39,200,-1,-1,-1,-1,-1,-1
64,64,200,200,200,200,160,39,-1,-1,-1,-1,-1,-1
64,64,200,200,200,200,158,160,-1,-1,-1,-1,-1,-1
64,64,200,200,200,200,158,158,-1,-1,-1,-1,-1,-1
64,64,200,200,200,200,159,158,-1,-1,-1,-1,-1,-1
65,64,200,200,200,200,159,159,-1,-1,-1,-1,-1,-1
64,65,200,200,200,200,158,159,-1,-1,-1,-1,-1,-1
64,64,200,200,200,200,159,158,0,1,0,-1,-1,-1
64,64,200,200,200,200,158,159,0,1,0,0,1,0
64,64,200,200,200,200,159,158,0,1,0,0,1,0
64,64,200,200,200,200,159,159,0,1,0,0,1,0
64,64,200,200,200,200,159,159,-1,-1,-1,-1,-1,-1
64,64,200,200,200,200,159,159,0,1,0,-1,-1,-1
64,64,200,200,104,200,159,159,-1,-1,-1,-1,-1,-1
64,64,200,200,103,104,161,159,-1,-1,-1,-1,-1,-1
64,64,200,200,103,103,200,161,-1,-1,-1,-1,-1,-1
64,64,200,200,103,103,200,200,-1,-1,-1,-1,-1,-1
64,64,200,200,102,103,200,200,-1,-1,-1,-1,-1,-1
64,64,200,200,103,102,200,200,-1,-1,-1,-1,-1,-1
64,64,200,200,103,103,161,200,-1,-1,-1,-1,-1,-1
64,64,200,200,103,103,161,161,0,1,0,-1,-1,-1
63,64,200,200,102,103,162,161,0,1,0,0,1,0
60,63,200,200,101,102,200,162,0,1,0,0,1,0
57,60,200,200,100,101,200,200,0,1,0,0,1,0
54,57,200,200,200,100,200,200,-1,-1,-1,0,1,0
51,54,200,200,98,200,200,200,-1,-1,-1,-1,-1,-1
52,51,200,200,200,98,200,200,-1,-1,-1,-1,-1,-1
54,52,200,200,100,200,200,200,-1,-1,-1,-1,-1,-1
57,54,200,200,102,100,200,200,-1,-1,-1,-1,-1,-1
59,57,200,200,102,102,200,200,-1,-1,-1,-1,-1,-1
62,59,200,200,101,102,162,200,-1,-1,-1,-1,-1,-1
64,62,200,200,200,101,158,162,-1,-1,-1,-1,-1,-1
67,64,200,200,107,200,156,158,-1,-1,-1,-1,-1,-1
69,67,200,200,200,107,153,156,-1,-1,-1,-1,-1,-1
72,69,76,200,200,200,152,153,0,1,0,-1,-1,-1
71,72,74,76,200,200,153,152,0,1,0,0,1,0
69,71,71,74,200,200,154,153,0,1,0,0,1,0
66,69,68,71,200,200,156,154,0,1,0,0,1,0
62,66,64,68,200,200,159,156,0,1,0,0,1,0
59,62,60,64,200,200,161,159,0,1,0,0,1,0
56,59,58,60,94,200,164,161,0,1,0,0,1,0
53,56,59,58,91,94,200,164,0,1,0,0,1,0
50,53,57,59,92,91,200,200,-1,-1,-1,-1,-1,-1
47,50,53,57,91,92,200,200,-1,-1,-1,-1,-1,-1
47,47,51,53,92,91,200,200,-1,-1,-1,-1,-1,-1
49,47,50,51,200,92,171,200,-1,-1,-1,-1,-1,-1
50,49,50,50,200,200,75,171,-1,-1,-1,-1,-1,-1
50,50,50,50,200,200,74,75,-1,-1,-1,-1,-1,-1
