front,prev_front,front_left,prev_front_left,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
108,80,200,200,75,75,200,200,0,1,0,0,1,0
108,108,200,200,75,75,200,200,0,1,0,0,1,0
106,108,200,200,74,75,200,200,0,1,0,0,1,0
96,106,200,200,71,74,200,200,0,1,0,0,1,0
92,96,200,200,69,71,200,200,0,1,0,0,1,0
90,92,200,200,66,69,200,200,0,1,0,0,1,0
92,90,200,200,64,66,200,200,0,1,0,0,1,0
76,92,200,200,62,64,200,200,0,1,0,0,1,0
75,76,200,200,60,62,200,200,0,1,0,0,1,0
71,75,200,200,57,60,200,200,0,1,0,0,1,0
68,71,200,200,56,57,200,200,0,1,0,0,1,0
59,68,200,200,54,56,200,200,0,1,0,0,1,0
58,59,200,200,52,54,200,200,0,1,0,0,1,0
52,58,200,200,51,52,200,200,0,1,0,0,1,0
49,52,200,200,49,51,200,200,1,0,0,0,1,0
48,49,200,200,47,49,200,200,1,0,0,1,0,0
60,48,200,200,47,47,83,200,1,0,0,1,0,0
200,60,200,200,46,47,54,83,1,0,0,1,0,0
200,200,200,200,45,46,51,54,1,0,0,1,0,0
200,200,200,200,45,45,50,51,0,1,0,1,0,0
200,200,200,200,47,45,48,50,0,1,0,0,1,0
200,200,200,200,58,47,50,48,1,0,0,0,1,0
200,200,200,200,59,58,50,50,0,1,0,1,0,0
200,200,200,200,200,59,51,50,0,1,0,0,1,0
200,200,200,200,70,200,52,51,0,1,0,0,1,0
200,200,200,200,200,70,54,52,0,0,1,0,1,0
200,200,200,200,200,200,56,54,0,0,1,0,0,1
200,200,200,200,200,200,58,56,0,1,0,0,0,1
200,200,200,200,43,200,59,58,0,1,0,0,1,0
200,200,200,200,42,43,60,59,0,1,0,0,1,0
200,200,200,200,41,42,40,60,0,1,0,0,1,0
200,200,200,200,40,41,39,40,0,1,0,0,1,0
200,200,200,200,39,40,40,39,0,1,0,0,1,0
200,200,200,200,38,39,42,40,0,1,0,0,1,0
200,200,200,200,37,38,40,42,0,1,0,0,1,0
200,200,200,200,38,37,40,40,0,1,0,0,1,0
200,200,200,200,38,38,42,40,0,1,0,0,1,0
200,200,200,200,36,38,200,42,0,1,0,0,1,0
200,200,200,200,35,36,200,200,0,1,0,0,1,0
200,200,200,200,35,35,51,200,0,1,0,0,1,0
200,200,200,200,38,35,200,51,0,1,0,0,1,0
200,200,200,200,200,38,200,200,0,1,0,0,1,0
200,200,200,200,200,200,58,200,0,1,0,0,1,0
200,200,200,200,200,200,58,58,0,1,0,0,1,0
200,200,200,200,200,200,200,58,0,0,1,0,1,0
200,200,200,200,200,200,58,200,0,0,1,0,0,1
200,200,200,200,200,200,200,58,0,0,1,0,0,1
200,200,200,200,200,200,200,200,0,0,1,0,0,1
200,200,200,200,200,200,200,200,0,1,0,0,0,1
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,200,200,200,200,0,1,0,0,1,0
200,200,200,200,58,200,200,200,0,0,1,0,1,0
200,200,200,200,58,58,200,200,0,1,0,0,0,1
200,200,200,200,200,58,200,200,0,1,0,0,1,0
200,200,200,200,51,200,200,200,0,1,0,0,1,0
200,200,200,200,200,51,200,200,0,1,0,0,1,0
200,200,200,200,40,200,31,200,0,1,0,0,1,0
200,200,200,200,30,40,200,31,0,1,0,0,1,0
184,200,200,200,30,30,200,200,0,1,0,0,1,0
181,184,200,200,29,30,200,200,0,1,0,0,1,0
175,181,200,200,30,29,200,200,0,1,0,0,1,0
168,175,200,200,29,30,39,200,0,1,0,0,1,0
