front_left,prev_front_left,front,prev_front,front_right,prev_front_right,rear_right,prev_rear_right,mode1,mode2,mode3,prev_mode1,prev_mode2,prev_mode3
120,120,120,120,53,53,120,120,0,1,0,0,1,0
120,120,120,120,53,53,120,120,0,1,0,0,1,0
120,120,120,120,53,53,120,120,0,1,0,0,1,0
120,120,120,120,51,53,120,120,0,1,0,0,1,0
120,120,120,120,51,51,120,120,0,1,0,0,1,0
120,120,120,120,49,51,120,120,0,1,0,0,1,0
120,120,120,120,49,49,120,120,0,1,0,0,1,0
120,120,120,120,48,49,120,120,0,1,0,0,1,0
120,120,120,120,47,48,120,120,0,1,0,0,1,0
120,120,64,120,46,47,120,120,0,1,0,0,1,0
120,120,59,64,45,46,120,120,0,1,0,0,1,0
120,120,65,59,45,45,120,120,1,0,0,0,1,0
120,120,59,65,44,45,120,120,1,0,0,1,0,0
120,120,120,59,42,44,98,120,1,0,0,1,0,0
120,120,120,120,41,42,86,98,1,0,0,1,0,0
120,120,120,120,40,41,78,86,1,0,0,1,0,0
120,120,120,120,40,40,71,78,1,0,0,1,0,0
120,120,120,120,41,40,69,71,1,0,0,1,0,0
120,120,120,120,42,41,69,69,1,0,0,1,0,0
120,120,120,120,43,42,70,69,1,0,0,1,0,0
120,120,120,120,44,43,67,70,1,0,0,1,0,0
120,120,120,120,45,44,60,67,1,0,0,1,0,0
120,120,120,120,47,45,55,60,0,1,0,1,0,0
120,120,120,120,48,47,51,55,0,1,0,0,1,0
120,120,120,120,49,48,50,51,0,1,0,0,1,0
120,120,120,120,49,49,49,50,0,1,0,0,1,0
120,120,120,120,49,49,49,49,0,1,0,0,1,0
120,120,120,120,47,49,49,49,0,1,0,0,1,0
120,120,120,120,46,47,48,49,0,1,0,0,1,0
120,120,120,120,44,46,48,48,0,1,0,0,1,0
120,120,120,120,43,44,49,48,0,1,0,0,1,0
120,120,120,120,41,43,49,49,0,1,0,0,1,0
120,120,120,120,120,41,48,49,0,1,0,0,1,0
120,120,120,120,40,120,48,48,0,1,0,0,1,0
120,120,120,120,120,40,49,48,0,1,0,0,1,0
120,120,120,120,120,120,49,49,0,1,0,0,1,0
120,120,120,120,120,120,49,49,0,1,0,0,1,0
120,120,120,120,120,120,49,49,0,1,0,0,1,0
120,120,120,120,42,120,49,49,0,1,0,0,1,0
120,120,120,120,120,42,49,49,0,1,0,0,1,0
120,120,120,120,120,120,49,49,0,1,0,0,1,0
120,120,120,120,120,120,49,49,0,1,0,0,1,0
120,120,120,120,120,120,49,49,0,1,0,0,1,0
120,120,120,120,40,120,49,49,0,1,0,0,1,0
120,120,120,120,39,40,49,49,0,1,0,0,1,0
120,120,120,120,38,39,49,49,0,1,0,0,1,0
120,120,120,120,35,38,49,49,0,1,0,0,1,0
120,120,120,120,38,35,49,49,0,1,0,0,1,0
120,120,120,120,37,38,49,49,0,1,0,0,1,0
120,120,120,120,37,37,49,49,0,1,0,0,1,0
120,120,120,120,39,37,49,49,0,1,0,0,1,0
120,120,120,120,120,39,49,49,0,1,0,0,1,0
120,120,120,120,40,120,49,49,0,1,0,0,1,0
120,120,120,120,120,40,49,49,0,1,0,0,1,0
120,120,120,120,39,120,49,49,0,1,0,0,1,0
120,120,120,120,120,39,50,49,0,1,0,0,1,0
120,120,120,120,38,120,49,50,0,1,0,0,1,0
120,120,120,120,120,38,50,49,0,1,0,0,1,0
120,120,120,120,38,120,49,50,0,1,0,0,1,0
120,120,120,120,37,38,50,49,0,0,1,0,1,0
120,120,120,120,38,37,50,50,0,0,1,0,0,1
120,120,120,120,42,38,51,50,0,0,1,0,0,1
120,120,120,120,38,42,53,51,0,0,1,0,0,1
120,120,120,120,120,38,56,53,0,0,1,0,0,1
120,120,120,120,39,120,59,56,0,0,1,0,0,1
120,120,120,120,37,39,62,59,0,0,1,0,0,1
120,120,120,120,120,37,67,62,0,0,1,0,0,1
120,120,120,120,35,120,72,67,0,0,1,0,0,1
120,120,120,120,40,35,79,72,0,0,1,0,0,1
120,120,120,120,120,40,87,79,0,0,1,0,0,1
120,120,120,120,35,120,96,87,0,0,1,0,0,1
120,120,120,120,37,35,109,96,0,0,1,0,0,1
120,120,120,120,39,37,120,109,0,0,1,0,0,1
120,120,120,120,52,39,120,120,0,0,1,0,0,1
120,120,120,120,68,52,120,120,0,0,1,0,0,1
120,120,120,120,67,68,120,120,0,0,1,0,0,1
120,120,120,120,69,67,120,120,0,0,1,0,0,1
120,120,120,120,63,69,120,120,0,0,1,0,0,1
120,120,120,120,60,63,120,120,0,0,1,0,0,1
120,120,120,120,56,60,120,120,0,0,1,0,0,1
120,120,120,120,53,56,120,120,0,0,1,0,0,1
